Game,Date,A,B,C,D,E,F
6801,03/09/1968,3,14,18,22,25,33
6802,10/09/1968,13,20,23,29,32,34
6803,17/09/1968,8,12,26,27,34,38
6804,24/09/1968,1,14,17,26,35,39
6805,01/10/1968,1,7,8,9,11,30
6806,08/10/1968,7,9,10,17,23,34
6807,15/10/1968,1,6,23,29,33,34
6808,22/10/1968,2,13,20,24,25,27
6809,29/10/1968,3,9,26,32,34,36
6810,05/11/1968,2,5,7,9,25,26
6811,12/11/1968,5,8,10,26,28,29
6812,19/11/1968,2,3,20,25,26,29
6813,26/11/1968,3,15,16,21,30,35
6814,03/12/1968,5,6,7,11,16,31
6815,10/12/1968,9,11,16,23,30,32
6816,17/12/1968,11,14,21,25,32,39
6817,24/12/1968,12,19,31,33,35,38
6818,31/12/1968,3,6,12,15,22,30
6901,07/01/1969,8,11,17,19,21,35
6902,14/01/1969,7,17,20,23,28,30
6903,21/01/1969,3,18,23,27,33,36
6904,28/01/1969,3,4,5,12,22,36
6905,04/02/1969,2,7,12,18,32,37
6906,11/02/1969,5,20,22,28,37,39
6907,18/02/1969,9,13,22,33,34,39
6908,25/02/1969,3,6,25,28,34,35
6909,04/03/1969,3,4,5,12,19,27
6910,11/03/1969,2,7,17,19,31,38
6911,18/03/1969,4,6,13,17,21,38
6912,25/03/1969,5,17,19,23,24,30
6913,01/04/1969,1,18,20,21,22,36
6914,08/04/1969,13,14,15,20,30,33
6915,15/04/1969,3,11,18,23,24,38
6916,22/04/1969,16,21,22,29,31,39
6917,29/04/1969,14,21,22,34,38,39
6918,06/05/1969,1,2,16,20,21,31
6919,13/05/1969,3,7,9,24,32,34
6920,20/05/1969,6,15,18,31,33,37
6921,27/05/1969,13,14,19,20,33,35
6922,03/06/1969,3,15,19,25,31,36
6923,10/06/1969,2,4,8,21,25,36
6924,17/06/1969,3,4,6,16,24,32
6925,24/06/1969,3,5,17,18,24,25
6926,01/07/1969,2,12,15,19,22,35
6927,08/07/1969,6,8,10,14,16,17
6928,15/07/1969,2,9,11,24,28,38
6929,22/07/1969,6,22,23,30,33,39
6930,29/07/1969,2,8,15,17,29,35
6931,05/08/1969,1,15,17,21,29,37
6932,12/08/1969,15,16,22,23,34,38
6933,19/08/1969,3,14,18,22,23,28
6934,26/08/1969,13,14,16,21,33,38
6935,02/09/1969,4,6,16,17,35,39
6936,09/09/1969,11,21,25,26,27,34
6937,16/09/1969,3,6,10,19,20,21
6938,23/09/1969,1,8,27,28,32,33
6939,30/09/1969,4,11,16,21,23,36
6940,07/10/1969,8,10,11,14,22,24
6941,14/10/1969,1,18,22,30,33,38
6942,21/10/1969,9,15,22,31,34,35
6943,28/10/1969,3,17,20,21,31,37
6944,04/11/1969,4,5,14,17,24,34
6945,11/11/1969,7,8,12,15,29,36
6946,18/11/1969,9,12,22,23,28,33
6947,25/11/1969,9,19,20,21,29,34
6948,02/12/1969,9,14,21,24,31,38
6949,09/12/1969,12,13,17,24,26,30
6950,16/12/1969,2,15,17,20,30,37
